skill_name,category,source_root,installed_in_codex,installed_in_claude_or_agents,installed_in_myagent,trigger_count,first_triggered_at,last_triggered_at,memory_hits,status,recommendation
worktree-merge-master,myagent,hermes,True,True,True,56,2026-06-05T04:36:38.658810+00:00,2026-06-10T09:08:53.612713+00:00,0,used,keep-hot
my-workflows,myagent,hermes,True,True,True,41,2026-06-05T11:31:16.480682+00:00,2026-06-09T14:20:40.524226+00:00,22,used,keep-hot
tg-webapp-url-monitor,myagent,hermes,True,True,True,10,2026-06-04T04:38:40.278137+00:00,2026-06-07T01:35:41.970817+00:00,0,used,keep-hot
wsl-windows-chrome,myagent,hermes,True,True,True,8,2026-06-04T00:53:59.979582+00:00,2026-06-06T14:53:28.450053+00:00,12,used,keep-hot
sync-shared-skills,myagent,hermes,True,True,True,6,2026-06-03T15:32:08.490593+00:00,2026-06-07T15:30:45.732504+00:00,10,used,keep-hot
codex-task-queue,myagent,hermes,True,True,True,6,2026-06-04T10:29:30.734933+00:00,2026-06-05T11:07:44.463423+00:00,8,used,keep-hot
my-tmux-manager,myagent,hermes,True,True,True,5,2026-06-07T15:08:51.485072+00:00,2026-06-09T00:55:15.095177+00:00,0,used,keep-on-demand
clash-proxy,myagent,hermes,True,True,True,4,2026-06-06T11:59:37.803480+00:00,2026-06-06T12:28:14.877679+00:00,4,used,keep-on-demand
oa-exception-record-filler,myagent,hermes,True,True,True,3,2026-06-03T15:41:33.229030+00:00,2026-06-03T15:58:22.781212+00:00,6,used,keep-on-demand
tg-app-release-command,myagent,hermes,True,True,True,3,2026-06-04T06:06:30.766005+00:00,2026-06-05T15:47:49.915783+00:00,0,used,keep-on-demand
daily-report-table,myagent,hermes,True,True,True,2,2026-06-10T02:56:24.349653+00:00,2026-06-10T03:07:13.995736+00:00,16,used,keep-on-demand
windows-system-settings,myagent,hermes,True,True,True,1,2026-06-06T13:09:07.488754+00:00,2026-06-06T13:09:07.488754+00:00,16,used,keep-on-demand
agent-tools-repair,myagent,hermes,True,True,False,1,2026-06-06T12:11:21.466032+00:00,2026-06-06T12:11:21.466032+00:00,12,used,keep-on-demand
cc-connect-bot-setup,myagent,hermes,True,True,True,1,2026-06-05T14:47:30.535692+00:00,2026-06-05T14:47:30.535692+00:00,0,used,keep-on-demand
code-review,myagent,hermes,True,True,True,1,2026-06-04T10:01:10.400555+00:00,2026-06-04T10:01:10.400555+00:00,0,used,keep-on-demand
tg-gateway-menu-recovery,myagent,hermes,True,True,True,1,2026-06-04T03:56:16.844354+00:00,2026-06-04T03:56:16.844354+00:00,0,used,keep-on-demand
pr,myagent,hermes,True,True,True,0,,,722,memory-only,keep-on-demand
codex,autonomous-ai-agents,hermes,False,True,False,0,,,626,memory-only,keep-on-demand
skill,codex,codex,True,False,False,0,,,480,memory-only,keep-on-demand
worker,codex,codex,True,False,False,0,,,246,memory-only,keep-on-demand
plan,software-development,hermes,True,True,False,0,,,148,memory-only,keep-on-demand
review,myagent,hermes,True,True,True,0,,,142,memory-only,keep-on-demand
test,myagent,hermes,True,True,True,0,,,132,memory-only,keep-on-demand
obsidian,note-taking,hermes,False,True,False,0,,,70,memory-only,keep-on-demand
note,codex,codex,True,False,False,0,,,60,memory-only,keep-on-demand
cloud,mlops,hermes,False,True,False,0,,,48,memory-only,keep-on-demand
help,codex,codex,True,False,False,0,,,44,memory-only,keep-on-demand
deploy,myagent,hermes,True,True,True,0,,,32,memory-only,keep-on-demand
commit,myagent,hermes,True,True,True,0,,,26,memory-only,keep-on-demand
references,dogfood,hermes,False,True,False,0,,,24,memory-only,keep-on-demand
webapp-testing,myagent,hermes,True,True,False,0,,,20,memory-only,keep-on-demand
trace,codex,codex,True,False,False,0,,,10,memory-only,keep-on-demand
cancel,codex,codex,True,False,False,0,,,8,memory-only,keep-on-demand
personal-bookkeeping,myagent,hermes,True,True,True,0,,,8,memory-only,keep-on-demand
doctor,codex,codex,True,False,False,0,,,6,memory-only,keep-on-demand
vitest,myagent,hermes,True,True,True,0,,,4,memory-only,keep-on-demand
opencli-adapter-author,myagent,hermes,True,True,True,0,,,2,memory-only,review
opencli-autofix,myagent,hermes,True,True,True,0,,,2,memory-only,review
